bow_coherence_values,tfidf_coherence_values,bow_coherence_values_sentences,tfidf_coherence_values_sentences
-0.06103005675658768,-2.5188918787836645,-0.07066359818681918,-0.047795167332550785
-0.09247755569881577,-1.584567025266016,-0.1796829571370249,-0.04547822034394564
-0.088929949336984,-1.7161624764464427,-2.7551488118247254,-0.07063934194700566
-0.11865042427085504,-3.583650678516551,-1.598909151887934,-2.92720133925922
-0.163204336778064,-4.066279758138189,-0.10818066943671252,-0.06568206067955522
-0.1185178865909434,-4.189913250371427,-0.0857129141965755,-2.2638999058171927
-0.11176835979311604,-4.442384112257133,-0.07510067230990518,-0.04865999270893001
-0.12227648196037985,-5.3901490957245395,-1.1824661060828832,-2.16960435694801
-0.13211720096834328,-5.925818775560214,-0.12063107214119725,-1.7336619433636753
-0.17708532271728958,-6.647170706333875,-0.07724796202195791,-1.6235680740104497
-0.17594477605813774,-6.396272746754977,-0.08578196747072858,-0.0905956850736349
-0.17704112958750254,-7.639377293804009,-0.06654735354480167,-0.7323634553417111
-0.1552198170824029,-7.554439853910986,-0.09166724175284209,-1.4260919251637636
-0.17237693906567048,-7.883123671655758,-0.08152449784074921,-0.07795698845364234
-0.2212934122602531,-6.989298359869126,-0.07281318483539798,-1.3159353614804112
-0.21958444774674982,-8.106476238978521,-0.09947363210555801,-0.0867743635946419
-0.18048030138056656,-7.55252794618373,-0.09395753420304262,-1.2293036076370187
-0.18342655906921226,-8.05081893553374,-0.09866266272341666,-0.7601981287405939
