Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,4,0.6,0.9000000000000001,-3.3535236140165545
TF-IDF Corpus,4,0.7000000000000001,0.1,-3.4329530545556644
TF-IDF Corpus,4,0.7000000000000001,0.30000000000000004,-3.4329530545556644
TF-IDF Corpus,4,0.7000000000000001,0.5000000000000001,-3.4329530545556644
TF-IDF Corpus,4,0.7000000000000001,0.7000000000000001,-3.4329530545556644
TF-IDF Corpus,4,0.7000000000000001,0.9000000000000001,-3.4329530545556644
TF-IDF Corpus,4,0.8,0.1,-3.440165649006394
TF-IDF Corpus,4,0.8,0.30000000000000004,-3.440165649006394
TF-IDF Corpus,4,0.8,0.5000000000000001,-3.440165649006394
TF-IDF Corpus,4,0.8,0.7000000000000001,-3.440165649006394
TF-IDF Corpus,4,0.8,0.9000000000000001,-3.440165649006394
TF-IDF Corpus,4,0.9,0.1,-3.5669427669178955
TF-IDF Corpus,4,0.9,0.30000000000000004,-3.5669427669178955
TF-IDF Corpus,4,0.9,0.5000000000000001,-3.5669427669178955
TF-IDF Corpus,4,0.9,0.7000000000000001,-3.5669427669178955
TF-IDF Corpus,4,0.9,0.9000000000000001,-3.5669427669178955
TF-IDF Corpus,5,0.1,0.1,-5.940138408478373
TF-IDF Corpus,5,0.1,0.30000000000000004,-5.940138408478373
TF-IDF Corpus,5,0.1,0.5000000000000001,-5.940138408478373
TF-IDF Corpus,5,0.1,0.7000000000000001,-5.940138408478373
TF-IDF Corpus,5,0.1,0.9000000000000001,-5.940138408478373
TF-IDF Corpus,5,0.2,0.1,-5.725516598353145
TF-IDF Corpus,5,0.2,0.30000000000000004,-5.725516598353145
TF-IDF Corpus,5,0.2,0.5000000000000001,-5.725516598353145
TF-IDF Corpus,5,0.2,0.7000000000000001,-5.725516598353145
TF-IDF Corpus,5,0.2,0.9000000000000001,-5.725516598353145
TF-IDF Corpus,5,0.30000000000000004,0.1,-4.296565802257144
TF-IDF Corpus,5,0.30000000000000004,0.30000000000000004,-4.296565802257144
TF-IDF Corpus,5,0.30000000000000004,0.5000000000000001,-4.296565802257144
TF-IDF Corpus,5,0.30000000000000004,0.7000000000000001,-4.296565802257144
TF-IDF Corpus,5,0.30000000000000004,0.9000000000000001,-4.296565802257144
TF-IDF Corpus,5,0.4,0.1,-4.02048746432665
TF-IDF Corpus,5,0.4,0.30000000000000004,-4.02048746432665
TF-IDF Corpus,5,0.4,0.5000000000000001,-4.02048746432665
TF-IDF Corpus,5,0.4,0.7000000000000001,-4.02048746432665
TF-IDF Corpus,5,0.4,0.9000000000000001,-4.02048746432665
TF-IDF Corpus,5,0.5,0.1,-3.184967023859517
TF-IDF Corpus,5,0.5,0.30000000000000004,-3.184967023859517
TF-IDF Corpus,5,0.5,0.5000000000000001,-3.184967023859517
TF-IDF Corpus,5,0.5,0.7000000000000001,-3.184967023859517
TF-IDF Corpus,5,0.5,0.9000000000000001,-3.184967023859517
TF-IDF Corpus,5,0.6,0.1,-3.340243752295217
TF-IDF Corpus,5,0.6,0.30000000000000004,-3.340243752295217
TF-IDF Corpus,5,0.6,0.5000000000000001,-3.340243752295217
TF-IDF Corpus,5,0.6,0.7000000000000001,-3.340243752295217
TF-IDF Corpus,5,0.6,0.9000000000000001,-3.340243752295217
TF-IDF Corpus,5,0.7000000000000001,0.1,-3.4359213611367294
TF-IDF Corpus,5,0.7000000000000001,0.30000000000000004,-3.4359213611367294
TF-IDF Corpus,5,0.7000000000000001,0.5000000000000001,-3.4359213611367294
TF-IDF Corpus,5,0.7000000000000001,0.7000000000000001,-3.4359213611367294
TF-IDF Corpus,5,0.7000000000000001,0.9000000000000001,-3.4359213611367294
TF-IDF Corpus,5,0.8,0.1,-3.4840378755670818
TF-IDF Corpus,5,0.8,0.30000000000000004,-3.4840378755670818
TF-IDF Corpus,5,0.8,0.5000000000000001,-3.4840378755670818
TF-IDF Corpus,5,0.8,0.7000000000000001,-3.4840378755670818
TF-IDF Corpus,5,0.8,0.9000000000000001,-3.4840378755670818
TF-IDF Corpus,5,0.9,0.1,-3.4846906591681197
TF-IDF Corpus,5,0.9,0.30000000000000004,-3.4846906591681197
TF-IDF Corpus,5,0.9,0.5000000000000001,-3.4846906591681197
TF-IDF Corpus,5,0.9,0.7000000000000001,-3.4846906591681197
TF-IDF Corpus,5,0.9,0.9000000000000001,-3.4846906591681197
TF-IDF Corpus,6,0.1,0.1,-6.0063426145547885
TF-IDF Corpus,6,0.1,0.30000000000000004,-6.0063426145547885
TF-IDF Corpus,6,0.1,0.5000000000000001,-6.0063426145547885
TF-IDF Corpus,6,0.1,0.7000000000000001,-6.0063426145547885
TF-IDF Corpus,6,0.1,0.9000000000000001,-6.0063426145547885
TF-IDF Corpus,6,0.2,0.1,-5.505852862018685
TF-IDF Corpus,6,0.2,0.30000000000000004,-5.505852862018685
TF-IDF Corpus,6,0.2,0.5000000000000001,-5.505852862018685
TF-IDF Corpus,6,0.2,0.7000000000000001,-5.505852862018685
TF-IDF Corpus,6,0.2,0.9000000000000001,-5.505852862018685
TF-IDF Corpus,6,0.30000000000000004,0.1,-4.864515633327863
TF-IDF Corpus,6,0.30000000000000004,0.30000000000000004,-4.864515633327863
TF-IDF Corpus,6,0.30000000000000004,0.5000000000000001,-4.864515633327863
TF-IDF Corpus,6,0.30000000000000004,0.7000000000000001,-4.864515633327863
TF-IDF Corpus,6,0.30000000000000004,0.9000000000000001,-4.864515633327863
TF-IDF Corpus,6,0.4,0.1,-4.286759890616458
TF-IDF Corpus,6,0.4,0.30000000000000004,-4.286759890616458
TF-IDF Corpus,6,0.4,0.5000000000000001,-4.286759890616458
TF-IDF Corpus,6,0.4,0.7000000000000001,-4.286759890616458
TF-IDF Corpus,6,0.4,0.9000000000000001,-4.286759890616458
TF-IDF Corpus,6,0.5,0.1,-4.059319449859189
TF-IDF Corpus,6,0.5,0.30000000000000004,-4.059319449859189
TF-IDF Corpus,6,0.5,0.5000000000000001,-4.059319449859189
TF-IDF Corpus,6,0.5,0.7000000000000001,-4.059319449859189
TF-IDF Corpus,6,0.5,0.9000000000000001,-4.059319449859189
TF-IDF Corpus,6,0.6,0.1,-3.8319779779290246
TF-IDF Corpus,6,0.6,0.30000000000000004,-3.8319779779290246
TF-IDF Corpus,6,0.6,0.5000000000000001,-3.8319779779290246
TF-IDF Corpus,6,0.6,0.7000000000000001,-3.8319779779290246
TF-IDF Corpus,6,0.6,0.9000000000000001,-3.8319779779290246
TF-IDF Corpus,6,0.7000000000000001,0.1,-3.46235051898652
TF-IDF Corpus,6,0.7000000000000001,0.30000000000000004,-3.46235051898652
TF-IDF Corpus,6,0.7000000000000001,0.5000000000000001,-3.46235051898652
TF-IDF Corpus,6,0.7000000000000001,0.7000000000000001,-3.46235051898652
TF-IDF Corpus,6,0.7000000000000001,0.9000000000000001,-3.46235051898652
TF-IDF Corpus,6,0.8,0.1,-3.621619092891887
TF-IDF Corpus,6,0.8,0.30000000000000004,-3.621619092891887
TF-IDF Corpus,6,0.8,0.5000000000000001,-3.621619092891887
TF-IDF Corpus,6,0.8,0.7000000000000001,-3.621619092891887
TF-IDF Corpus,6,0.8,0.9000000000000001,-3.621619092891887
TF-IDF Corpus,6,0.9,0.1,-3.615962057032735
TF-IDF Corpus,6,0.9,0.30000000000000004,-3.615962057032735
TF-IDF Corpus,6,0.9,0.5000000000000001,-3.615962057032735
TF-IDF Corpus,6,0.9,0.7000000000000001,-3.615962057032735
TF-IDF Corpus,6,0.9,0.9000000000000001,-3.615962057032735
TF-IDF Corpus,7,0.1,0.1,-5.908271711978071
TF-IDF Corpus,7,0.1,0.30000000000000004,-5.908271711978071
TF-IDF Corpus,7,0.1,0.5000000000000001,-5.908271711978071
TF-IDF Corpus,7,0.1,0.7000000000000001,-5.908271711978071
TF-IDF Corpus,7,0.1,0.9000000000000001,-5.908271711978071
TF-IDF Corpus,7,0.2,0.1,-6.306968078366831
TF-IDF Corpus,7,0.2,0.30000000000000004,-6.306968078366831
TF-IDF Corpus,7,0.2,0.5000000000000001,-6.306968078366831
TF-IDF Corpus,7,0.2,0.7000000000000001,-6.306968078366831
TF-IDF Corpus,7,0.2,0.9000000000000001,-6.306968078366831
TF-IDF Corpus,7,0.30000000000000004,0.1,-5.090388820373276
TF-IDF Corpus,7,0.30000000000000004,0.30000000000000004,-5.090388820373276
TF-IDF Corpus,7,0.30000000000000004,0.5000000000000001,-5.090388820373276
TF-IDF Corpus,7,0.30000000000000004,0.7000000000000001,-5.090388820373276
TF-IDF Corpus,7,0.30000000000000004,0.9000000000000001,-5.090388820373276
TF-IDF Corpus,7,0.4,0.1,-4.395612626323639
TF-IDF Corpus,7,0.4,0.30000000000000004,-4.395612626323639
TF-IDF Corpus,7,0.4,0.5000000000000001,-4.395612626323639
TF-IDF Corpus,7,0.4,0.7000000000000001,-4.395612626323639
TF-IDF Corpus,7,0.4,0.9000000000000001,-4.395612626323639
TF-IDF Corpus,7,0.5,0.1,-4.4913845005564195
TF-IDF Corpus,7,0.5,0.30000000000000004,-4.4913845005564195
TF-IDF Corpus,7,0.5,0.5000000000000001,-4.4913845005564195
TF-IDF Corpus,7,0.5,0.7000000000000001,-4.4913845005564195
TF-IDF Corpus,7,0.5,0.9000000000000001,-4.4913845005564195
TF-IDF Corpus,7,0.6,0.1,-3.8121298216893282
TF-IDF Corpus,7,0.6,0.30000000000000004,-3.8121298216893282
TF-IDF Corpus,7,0.6,0.5000000000000001,-3.8121298216893282
TF-IDF Corpus,7,0.6,0.7000000000000001,-3.8121298216893282
TF-IDF Corpus,7,0.6,0.9000000000000001,-3.8121298216893282
TF-IDF Corpus,7,0.7000000000000001,0.1,-3.691491716226803
TF-IDF Corpus,7,0.7000000000000001,0.30000000000000004,-3.691491716226803
TF-IDF Corpus,7,0.7000000000000001,0.5000000000000001,-3.691491716226803
TF-IDF Corpus,7,0.7000000000000001,0.7000000000000001,-3.691491716226803
TF-IDF Corpus,7,0.7000000000000001,0.9000000000000001,-3.691491716226803
TF-IDF Corpus,7,0.8,0.1,-3.560244551414081
TF-IDF Corpus,7,0.8,0.30000000000000004,-3.560244551414081
TF-IDF Corpus,7,0.8,0.5000000000000001,-3.560244551414081
TF-IDF Corpus,7,0.8,0.7000000000000001,-3.560244551414081
TF-IDF Corpus,7,0.8,0.9000000000000001,-3.560244551414081
TF-IDF Corpus,7,0.9,0.1,-3.5722790151779242
TF-IDF Corpus,7,0.9,0.30000000000000004,-3.5722790151779242
TF-IDF Corpus,7,0.9,0.5000000000000001,-3.5722790151779242
TF-IDF Corpus,7,0.9,0.7000000000000001,-3.5722790151779242
TF-IDF Corpus,7,0.9,0.9000000000000001,-3.5722790151779242
TF-IDF Corpus,8,0.1,0.1,-5.322249748530266
TF-IDF Corpus,8,0.1,0.30000000000000004,-5.322249748530266
TF-IDF Corpus,8,0.1,0.5000000000000001,-5.322249748530266
TF-IDF Corpus,8,0.1,0.7000000000000001,-5.322249748530266
TF-IDF Corpus,8,0.1,0.9000000000000001,-5.322249748530266
TF-IDF Corpus,8,0.2,0.1,-5.514698274534314
TF-IDF Corpus,8,0.2,0.30000000000000004,-5.514698274534314
TF-IDF Corpus,8,0.2,0.5000000000000001,-5.514698274534314
TF-IDF Corpus,8,0.2,0.7000000000000001,-5.514698274534314
TF-IDF Corpus,8,0.2,0.9000000000000001,-5.514698274534314
TF-IDF Corpus,8,0.30000000000000004,0.1,-4.9451744890127305
TF-IDF Corpus,8,0.30000000000000004,0.30000000000000004,-4.9451744890127305
TF-IDF Corpus,8,0.30000000000000004,0.5000000000000001,-4.9451744890127305
TF-IDF Corpus,8,0.30000000000000004,0.7000000000000001,-4.9451744890127305
TF-IDF Corpus,8,0.30000000000000004,0.9000000000000001,-4.9451744890127305
TF-IDF Corpus,8,0.4,0.1,-4.777945336225933
TF-IDF Corpus,8,0.4,0.30000000000000004,-4.777945336225933
TF-IDF Corpus,8,0.4,0.5000000000000001,-4.777945336225933
TF-IDF Corpus,8,0.4,0.7000000000000001,-4.777945336225933
TF-IDF Corpus,8,0.4,0.9000000000000001,-4.777945336225933
TF-IDF Corpus,8,0.5,0.1,-4.110657935079617
TF-IDF Corpus,8,0.5,0.30000000000000004,-4.110657935079617
TF-IDF Corpus,8,0.5,0.5000000000000001,-4.110657935079617
TF-IDF Corpus,8,0.5,0.7000000000000001,-4.110657935079617
TF-IDF Corpus,8,0.5,0.9000000000000001,-4.110657935079617
TF-IDF Corpus,8,0.6,0.1,-3.930612922372222
TF-IDF Corpus,8,0.6,0.30000000000000004,-3.930612922372222
TF-IDF Corpus,8,0.6,0.5000000000000001,-3.930612922372222
TF-IDF Corpus,8,0.6,0.7000000000000001,-3.930612922372222
TF-IDF Corpus,8,0.6,0.9000000000000001,-3.930612922372222
TF-IDF Corpus,8,0.7000000000000001,0.1,-3.78839469754659
TF-IDF Corpus,8,0.7000000000000001,0.30000000000000004,-3.78839469754659
TF-IDF Corpus,8,0.7000000000000001,0.5000000000000001,-3.78839469754659
TF-IDF Corpus,8,0.7000000000000001,0.7000000000000001,-3.78839469754659
TF-IDF Corpus,8,0.7000000000000001,0.9000000000000001,-3.78839469754659
TF-IDF Corpus,8,0.8,0.1,-3.6459222301117853
TF-IDF Corpus,8,0.8,0.30000000000000004,-3.6459222301117853
TF-IDF Corpus,8,0.8,0.5000000000000001,-3.6459222301117853
TF-IDF Corpus,8,0.8,0.7000000000000001,-3.6459222301117853
TF-IDF Corpus,8,0.8,0.9000000000000001,-3.6459222301117853
TF-IDF Corpus,8,0.9,0.1,-3.559898583126842
TF-IDF Corpus,8,0.9,0.30000000000000004,-3.559898583126842
TF-IDF Corpus,8,0.9,0.5000000000000001,-3.559898583126842
TF-IDF Corpus,8,0.9,0.7000000000000001,-3.559898583126842
TF-IDF Corpus,8,0.9,0.9000000000000001,-3.559898583126842
TF-IDF Corpus,9,0.1,0.1,-6.366108051406872
TF-IDF Corpus,9,0.1,0.30000000000000004,-6.366108051406872
TF-IDF Corpus,9,0.1,0.5000000000000001,-6.366108051406872
TF-IDF Corpus,9,0.1,0.7000000000000001,-6.366108051406872
TF-IDF Corpus,9,0.1,0.9000000000000001,-6.366108051406872
TF-IDF Corpus,9,0.2,0.1,-6.229311557655397
TF-IDF Corpus,9,0.2,0.30000000000000004,-6.229311557655397
TF-IDF Corpus,9,0.2,0.5000000000000001,-6.229311557655397
TF-IDF Corpus,9,0.2,0.7000000000000001,-6.229311557655397
TF-IDF Corpus,9,0.2,0.9000000000000001,-6.229311557655397
TF-IDF Corpus,9,0.30000000000000004,0.1,-5.7283529362384265
TF-IDF Corpus,9,0.30000000000000004,0.30000000000000004,-5.7283529362384265
TF-IDF Corpus,9,0.30000000000000004,0.5000000000000001,-5.7283529362384265
TF-IDF Corpus,9,0.30000000000000004,0.7000000000000001,-5.7283529362384265
TF-IDF Corpus,9,0.30000000000000004,0.9000000000000001,-5.7283529362384265
TF-IDF Corpus,9,0.4,0.1,-4.320354061479815
TF-IDF Corpus,9,0.4,0.30000000000000004,-4.320354061479815
TF-IDF Corpus,9,0.4,0.5000000000000001,-4.320354061479815
TF-IDF Corpus,9,0.4,0.7000000000000001,-4.320354061479815
TF-IDF Corpus,9,0.4,0.9000000000000001,-4.320354061479815
TF-IDF Corpus,9,0.5,0.1,-3.8507224015268386
TF-IDF Corpus,9,0.5,0.30000000000000004,-3.8507224015268386
TF-IDF Corpus,9,0.5,0.5000000000000001,-3.8507224015268386
TF-IDF Corpus,9,0.5,0.7000000000000001,-3.8507224015268386
TF-IDF Corpus,9,0.5,0.9000000000000001,-3.8507224015268386
TF-IDF Corpus,9,0.6,0.1,-3.7477438155837217
TF-IDF Corpus,9,0.6,0.30000000000000004,-3.7477438155837217
TF-IDF Corpus,9,0.6,0.5000000000000001,-3.7477438155837217
TF-IDF Corpus,9,0.6,0.7000000000000001,-3.7477438155837217
TF-IDF Corpus,9,0.6,0.9000000000000001,-3.7477438155837217
TF-IDF Corpus,9,0.7000000000000001,0.1,-3.765349313364245
TF-IDF Corpus,9,0.7000000000000001,0.30000000000000004,-3.765349313364245
TF-IDF Corpus,9,0.7000000000000001,0.5000000000000001,-3.765349313364245
TF-IDF Corpus,9,0.7000000000000001,0.7000000000000001,-3.765349313364245
TF-IDF Corpus,9,0.7000000000000001,0.9000000000000001,-3.765349313364245
TF-IDF Corpus,9,0.8,0.1,-3.5450312501344943
TF-IDF Corpus,9,0.8,0.30000000000000004,-3.5450312501344943
TF-IDF Corpus,9,0.8,0.5000000000000001,-3.5450312501344943
TF-IDF Corpus,9,0.8,0.7000000000000001,-3.5450312501344943
TF-IDF Corpus,9,0.8,0.9000000000000001,-3.5450312501344943
TF-IDF Corpus,9,0.9,0.1,-3.4601413043536593
TF-IDF Corpus,9,0.9,0.30000000000000004,-3.4601413043536593
TF-IDF Corpus,9,0.9,0.5000000000000001,-3.4601413043536593
TF-IDF Corpus,9,0.9,0.7000000000000001,-3.4601413043536593
TF-IDF Corpus,9,0.9,0.9000000000000001,-3.4601413043536593
BoW Corpus,2,0.1,0.1,-1.1780262349353612
BoW Corpus,2,0.1,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.1,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.1,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.1,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.2,0.1,-1.1780262349353612
BoW Corpus,2,0.2,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.2,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.2,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.2,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.30000000000000004,0.1,-1.1780262349353612
BoW Corpus,2,0.30000000000000004,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.30000000000000004,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.30000000000000004,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.30000000000000004,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.4,0.1,-1.1780262349353612
BoW Corpus,2,0.4,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.4,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.4,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.4,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.5,0.1,-1.1780262349353612
BoW Corpus,2,0.5,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.5,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.5,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.5,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.6,0.1,-1.1780262349353612
BoW Corpus,2,0.6,0.30000000000000004,-1.1780262349353612
BoW Corpus,2,0.6,0.5000000000000001,-1.1780262349353612
BoW Corpus,2,0.6,0.7000000000000001,-1.1780262349353612
BoW Corpus,2,0.6,0.9000000000000001,-1.1780262349353612
BoW Corpus,2,0.7000000000000001,0.1,-1.1761158744001428
BoW Corpus,2,0.7000000000000001,0.30000000000000004,-1.1761158744001428
BoW Corpus,2,0.7000000000000001,0.5000000000000001,-1.1761158744001428
BoW Corpus,2,0.7000000000000001,0.7000000000000001,-1.1761158744001428
