topic_number,bow_coherence_values,bow_coherence_values_sentences
2,-0.44927584647934227,-8.323383685792267
3,-0.40479554001865203,-7.9981152996617295
4,-0.4595519241488818,-7.866630350977724
5,-0.4551913632018737,-7.322702832307419
6,-0.40359088591315384,-7.17212411353666
7,-0.43416177963375224,-8.514095926407618
8,-0.41074785520313595,-8.659709793342731
9,-0.45665783453148645,-8.571813032116568
10,-0.4291189950905657,-7.859684861555425
11,-0.5012060574455124,-9.294813055527053
