topic_number,bow_coherence_values,bow_coherence_values_sentences
2,-0.021255656063556175,-3.0350513224024107
3,-0.0333622222231276,-2.9206569709650645
4,-0.04241827780913709,-3.2538608534404374
5,-0.040050213483868266,-3.1358662081735895
6,-0.04235960500196089,-2.8867407884383183
7,-0.06962241585362365,-3.5701474683915713
8,-0.056944399640682854,-3.775627660818147
9,-0.06479543022999291,-3.4795176304757667
10,-0.06404904041100644,-4.14115195654811
11,-0.08022319560610869,-4.326397024745161
